Projects,Raw Requirements,Requiremnet Name,Type,Requirement with Standard Syntax(previous),, type,Requirement with Standard Syntax,Domain,sub_domain,
PR-17,Customer can see advertisements of each pages by clicking.,Add advertisements Page,Ubiquitous,The system shall allow the customer to see advertisements of each pages by clicking.,,ubiquitous,The system shall allow the customer to see advertisements of each pages by clicking.,Online Service,,
PR-17,Tasker and Customer can view of task pages.,View task page,Ubiquitous,The system shall allow the tasker and customer can view of task pages.,,ubiquitous,The system shall allow the tasker and customer can view of task pages.,Online Service,,
PR-17,Customer  can order of task and response to Tasker,View task page,Ubiquitous,The system shall allow the customer to order of task and response to tasker.,,ubiquitous,The system shall allow the customer to order of task and response to tasker.,Online Service,,
PR-17,"
Task report can also be performed using which Customer can give their feedback about a task on the basis of time efficiency and clear work

",Assessment Report,Ubiquitous,"
The system shall perform the task report using which Customer can give their feedback about a task on the basis of time efficiency and clear work

",,ubiquitous,"
The system shall perform the task report using which Customer can give their feedback about a task on the basis of time efficiency and clear work

",Online Service,,
PR-17,Check report of Tasker and give it accurate  time and date,Assessment Report,Ubiquitous,The system shall check report of tasker and give it accurate time and date.,,ubiquitous,The system shall check report of tasker and give it accurate time and date.,Online Service,,
PR-17,"Admin review the all report of email , Customer , Tasker and task",Assessment Report,Ubiquitous,"The system shall allow the admin to review the all report of email , Customer , tasker and task.",,ubiquitous,"The system shall allow the admin to review the all report of email , Customer , tasker and task.",Online Service,,
PR-17,Admin give bonus for detail of task,Discount Page,Ubiquitous,The system shall allw admin to give bonus for detail of task.,,ubiquitous,The system shall allw admin to give bonus for detail of task.,Online Service,,
PR-18,Login,Authority Admin,Ubiquitous,The system shall allow the admin to login.,,ubiquitous,The system shall allow the admin to login.,Medical,,
PR-18,Signup,Medicine Store(User),Ubiquitous,The system shall allow medicine store to signup.,,ubiquitous,The system shall allow medicine store to signup.,Medical,,
PR-18,Receive order,Medicine Store(User),Ubiquitous,The system shall allow medicine store to receive order.,,ubiquitous,The system shall allow medicine store to receive order.,Medical,,
PR-18,Signup,Medicine Company(User),Ubiquitous,The system shall allow medicine company to signup.,,ubiquitous,The system shall allow medicine company to signup.,Medical,,
PR-19,"User needs an interactive interface, which should be user friendly.",employee,,,,ubiquitous,"the User shall needs an interactive interface, which should be user friendly.",Management system,,
PR-19,The interface must contain useful information properly.,employee,,,,ubiquitous,The system shall have an interface that must contain useful information properly.,Management system,,
PR-19,All reasons will be redirected to the Manager portal to approve or disapprove.,employee,Ubiquitous.,The system shall allow the manager to approve or disapprove any employee request.,,ubiquitous,The system shall allow the manager to approve or disapprove any employee request.,Management system,,
PR-19,"User needs an interactive interface, which should be user friendly and concise.",Manager,,,,ubiquitous,"the User shall require an interactive interface, which should be user friendly and concise.",Management system,,
PR-19,The interface must contain useful information properly.,Manager,,,,ubiquitous,the system shall have interface that contain useful information properly.,Management system,,
PR-19,Manager have the authority to check upon the attendance of his own department employees only. ,Manager,Ubiquitous,The system shall allow the manager to check attendance of his own department employees only. ,,ubiquitous,The system shall allow the manager to check attendance of his own department employees only. ,Management system,,
PR-19,Manger can terminate his department employees.,Manager,Ubiquitous,The system shall allow the manager to terminate his/her department employess.,,ubiquitous,The system shall allow the manager to terminate his/her department employess.,Management system,,
PR-20,"System shall allow the user to search Purchase Invoice, Purchase Details and Purchase Return.",Purchase Management,Ubiquitous,"The system shall allow the user to search purchase invoice, purchase details and purchase return.",,ubiquitous,"The system shall allow the user to search purchase invoice, purchase details and purchase return.",Medical,,
PR-20,System shall allow the user to create a Sale Invoice,Sales Management,Ubiquitous,The system shall allow the user to create a sale invoice.,,ubiquitous,The system shall allow the user to create a sale invoice.,Medical,,
PR-20,System shall allow the user to create Sale Return Invoice,Sales Management,Ubiquitous,The system shall allow the user to create sale return invoice,,ubiquitous,The system shall allow the user to create sale return invoice,Medical,,
PR-20,"System shall allow the user to search Sale Invoice, Sale Details and Sale Return.",Sales Management,Ubiquitous,"The system shall allow the user to search sale invoice, sale details and sale return.",,ubiquitous,"The system shall allow the user to search sale invoice, sale details and sale return.",Medical,,
PR-20,System shall allow the user to add items to Stock,Stock Management,Ubiquitous,The system shall allow the user to add items to stock.,,ubiquitous,The system shall allow the user to add items to stock.,Medical,,
