index,Raw Requirements,Requirement with Standard Syntax, type,Domain,sub_domain,raw_length,standard_length,clean_raw_length,clean_standard_length,POS,Boilerplate Sentence
1329,system allow unique order id every order customer.,system shall allow unique order id every order customer.,0,Online Service,Web development,73,74,50,56,"[('system', 'NN'), ('allow', 'VB'), ('unique', 'JJ'), ('order', 'NN'), ('id', 'NN'), ('every', 'DT'), ('order', 'NN'), ('customer', 'NN'), ('.', '.')]",The system shall allow unique system order id customer
1330,system allow customer track order using unique assigned orderid.,system shall allow customer track order using unique assigned orderid.,0,Online Service,Web development,90,91,64,70,"[('system', 'NN'), ('allow', 'VB'), ('customer', 'NN'), ('track', 'NN'), ('order', 'NN'), ('using', 'VBG'), ('unique', 'JJ'), ('assigned', 'VBN'), ('orderid', 'NN'), ('.', '.')]",The system shall allow using assigned unique system customer track order orderid
1331,system enable admin add new products.,system shall enable admin add new products.,0,Online Service,Web development,53,54,37,43,"[('system', 'NN'), ('enable', 'JJ'), ('admin', 'RB'), ('add', 'VBP'), ('new', 'JJ'), ('products', 'NNS'), ('.', '.')]",The system shall add enable new system
1332,system enable admin remove existing products.,system shall enable admin remove existing products.,0,Online Service,Web development,65,66,45,51,"[('system', 'NN'), ('enable', 'JJ'), ('admin', 'RB'), ('remove', 'VB'), ('existing', 'VBG'), ('products', 'NNS'), ('.', '.')]",The system shall remove existing enable system
1333,system enable admin give discount listed products.,system shall enable admin give discount listed products.,0,Online Service,Web development,77,79,50,56,"[('system', 'NN'), ('enable', 'JJ'), ('admin', 'RB'), ('give', 'VBP'), ('discount', 'NN'), ('listed', 'VBN'), ('products', 'NNS'), ('.', '.')]",The system shall give listed enable system discount
1334,system allow admin set price listed product,system shall allow admin set price listed product,0,Online Service,Web development,72,73,43,49,"[('system', 'NN'), ('allow', 'JJ'), ('admin', 'RB'), ('set', 'VBN'), ('price', 'NN'), ('listed', 'VBD'), ('product', 'NN')]",The system shall set listed allow system price product
1335,system allow admin add new product category listed product categories.,system shall allow admin add new product category listed product categories.,0,Online Service,Web development,95,96,70,76,"[('system', 'NN'), ('allow', 'JJ'), ('admin', 'RB'), ('add', 'VBP'), ('new', 'JJ'), ('product', 'NN'), ('category', 'NN'), ('listed', 'JJ'), ('product', 'NN'), ('categories', 'NNS'), ('.', '.')]",The system shall add allow new listed system product category
1336,system allow admin see order quantity.,system shall allow admin see order quantity.,0,Online Service,Web development,59,60,38,44,"[('system', 'NN'), ('allow', 'JJ'), ('admin', 'RB'), ('see', 'VBP'), ('order', 'NN'), ('quantity', 'NN'), ('.', '.')]",The system shall see allow system order quantity
1337,"system allow admin see order details. (order completed not, time frame)","system shall allow admin see order details. (order completed not, time frame)",0,Online Service,Web development,94,96,71,77,"[('system', 'NN'), ('allow', 'JJ'), ('admin', 'RB'), ('see', 'VBP'), ('order', 'NN'), ('details', 'NNS'), ('.', '.'), ('(', '('), ('order', 'NN'), ('completed', 'VBN'), ('not', 'RB'), (',', ','), ('time', 'NN'), ('frame', 'NN'), (')', ')')]",The system shall see completed allow system order time frame
1338,system allow admin deliver order.,system shall allow admin deliver order.,0,Online Service,Web development,53,54,33,39,"[('system', 'NN'), ('allow', 'VB'), ('admin', 'RB'), ('deliver', 'JJ'), ('order', 'NN'), ('.', '.')]",The system shall allow deliver system order
1339,system allow admin cancel order client.,system shall allow admin cancel order client.,0,Online Service,Web development,66,67,39,45,"[('system', 'NN'), ('allow', 'JJ'), ('admin', 'RB'), ('cancel', 'JJ'), ('order', 'NN'), ('client', 'NN'), ('.', '.')]",The system shall  allow cancel system order client
1340,system enable designer see custom order requests.,system shall enable designer see custom order requests.,0,Online Service,Web development,70,72,49,55,"[('system', 'NN'), ('enable', 'JJ'), ('designer', 'NN'), ('see', 'VBP'), ('custom', 'JJ'), ('order', 'NN'), ('requests', 'NNS'), ('.', '.')]",The system shall see enable custom system designer order
1341,system enable designer bid custom order requests.,system shall enable designer bid custom order requests.,0,Online Service,Web development,69,71,49,55,"[('system', 'NN'), ('enable', 'JJ'), ('designer', 'NN'), ('bid', 'NN'), ('custom', 'NN'), ('order', 'NN'), ('requests', 'NNS'), ('.', '.')]",The system shall  enable system designer bid custom order
1342,system enable designer deliver orders.,system shall enable designer deliver orders.,0,Online Service,Web development,59,61,38,44,"[('system', 'NN'), ('enable', 'JJ'), ('designer', 'NN'), ('deliver', 'NN'), ('orders', 'NNS'), ('.', '.')]",The system shall  enable system designer deliver
1343,system allow designer send message client live chat.,system shall allow designer send message client live chat.,0,Online Service,Web development,79,80,52,58,"[('system', 'NN'), ('allow', 'JJ'), ('designer', 'NN'), ('send', 'JJ'), ('message', 'NN'), ('client', 'NN'), ('live', 'JJ'), ('chat', 'NN'), ('.', '.')]",The system shall  allow send live system designer message client chat
1344,requested asset added user profile,system shall add user request user profile,0,Management system,Web development,45,54,34,42,"[('requested', 'VBN'), ('asset', 'NN'), ('added', 'VBD'), ('user', 'NN'), ('profile', 'NN')]",The system shall requested added  asset user profile
1345,system shall allow user enter his/her name.,system shall allow user enter his/her name.,0,Management system,Web & Mobile app,50,50,43,43,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('enter', 'NN'), ('his/her', 'NN'), ('name', 'NN'), ('.', '.')]",The system shall allow  system enter his/her name
1346,system shall allow user enter his/her email.,system shall allow user enter his/her email.,0,Management system,Web & Mobile app,55,55,44,44,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('enter', 'NN'), ('his/her', 'NN'), ('email', 'NN'), ('.', '.')]",The system shall allow  system enter his/her email
1347,system shall allow user enter gender.,system shall allow user enter gender.,0,Management system,Web & Mobile app,54,54,37,37,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('enter', 'JJ'), ('gender', 'NN'), ('.', '.')]",The system shall allow enter system gender
1348,system shall ask user enter his/her phone number username.,system shall ask user enter his/her phone number username.,0,Management system,Web & Mobile app,73,73,58,58,"[('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('user', 'JJ'), ('enter', 'NN'), ('his/her', 'PRP$'), ('phone', 'NN'), ('number', 'NN'), ('username', 'NN'), ('.', '.')]",The system shall ask user system enter phone number username
1349,system shall check database record.,system shall check database record.,0,Management system,Web & Mobile app,56,56,35,35,"[('system', 'NN'), ('shall', 'MD'), ('check', 'VB'), ('database', 'NN'), ('record', 'NN'), ('.', '.')]",The system shall check  system database record
1350,system shall move phone number verification screen next.,system shall move phone number verification screen next.,0,Management system,Web & Mobile app,68,68,56,56,"[('system', 'NN'), ('shall', 'MD'), ('move', 'VB'), ('phone', 'NN'), ('number', 'NN'), ('verification', 'NN'), ('screen', 'JJ'), ('next', 'JJ'), ('.', '.')]",The system shall move screen next system phone number verification
1351,system shall ask user enter username.,system shall ask user enter username.,0,Management system,Web & Mobile app,52,52,37,37,"[('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('user', 'JJ'), ('enter', 'NN'), ('username', 'NN'), ('.', '.')]",The system shall ask user system enter username
1352,system shall ask user enter password.,system shall ask user enter password.,0,Management system,Web & Mobile app,52,52,37,37,"[('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('user', 'JJ'), ('enter', 'NN'), ('password', 'NN'), ('.', '.')]",The system shall ask user system enter password
1353,system shall check database record.,system shall check database record.,0,Management system,Web & Mobile app,56,56,35,35,"[('system', 'NN'), ('shall', 'MD'), ('check', 'VB'), ('database', 'NN'), ('record', 'NN'), ('.', '.')]",The system shall check  system database record
1354,system shall redirect user home page.,system shall redirect user home page.,0,Management system,Web & Mobile app,53,53,37,37,"[('system', 'NN'), ('shall', 'MD'), ('redirect', 'VB'), ('user', 'JJ'), ('home', 'NN'), ('page', 'NN'), ('.', '.')]",The system shall redirect user system home page
1355,system shall open phone verification screen.,system shall open phone verification screen.,0,Management system,Web & Mobile app,52,52,44,44,"[('system', 'NN'), ('shall', 'MD'), ('open', 'VB'), ('phone', 'NN'), ('verification', 'NN'), ('screen', 'NN'), ('.', '.')]",The system shall open  system phone verification screen
1356,system shall send verification message phone number entered user.,system shall send verification message phone number entered user.,0,Management system,Web & Mobile app,89,89,65,65,"[('system', 'NN'), ('shall', 'MD'), ('send', 'VB'), ('verification', 'NN'), ('message', 'NN'), ('phone', 'NN'), ('number', 'NN'), ('entered', 'VBN'), ('user', 'NN'), ('.', '.')]",The system shall send entered  system verification message phone number user
1357,system shall allow user enter code text area.,system shall allow user enter code text area.,0,Management system,Web & Mobile app,59,59,45,45,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('enter', 'JJ'), ('code', 'NN'), ('text', 'JJ'), ('area', 'NN'), ('.', '.')]",The system shall allow enter text system code area
1358,system shall check verify code sent user.,system shall check verify code sent user.,0,Management system,Web & Mobile app,60,60,41,41,"[('system', 'NN'), ('shall', 'MD'), ('check', 'VB'), ('verify', 'JJ'), ('code', 'NN'), ('sent', 'VBD'), ('user', 'NN'), ('.', '.')]",The system shall check sent verify system code user
1359,system shall allow user open side/burger menu,system shall allow user open side/burger menu,0,Management system,Web & Mobile app,61,61,45,45,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('open', 'JJ'), ('side/burger', 'NN'), ('menu', 'NN')]",The system shall allow open system user side/burger menu
1360,system shall allow user move trip history page.,system shall allow user move trip history page.,0,Management system,Web & Mobile app,65,65,47,47,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('move', 'NN'), ('trip', 'NN'), ('history', 'NN'), ('page', 'NN'), ('.', '.')]",The system shall allow user system move trip history page
1361,system shall fetch data database populate trip history page,system shall fetch data database populate trip history page,0,Management system,Web & Mobile app,83,83,59,59,"[('system', 'NN'), ('shall', 'MD'), ('fetch', 'VB'), ('data', 'NNS'), ('database', 'NN'), ('populate', 'NN'), ('trip', 'NN'), ('history', 'NN'), ('page', 'NN')]",The system shall fetch  system database populate trip history page
1362,"system shall show date, time, starting location, destination total km table.","system shall show date, time, starting location, destination total km table.",0,Management system,Web & Mobile app,96,96,76,76,"[('system', 'NN'), ('shall', 'MD'), ('show', 'VB'), ('date', 'NN'), (',', ','), ('time', 'NN'), (',', ','), ('starting', 'VBG'), ('location', 'NN'), (',', ','), ('destination', 'NN'), ('total', 'JJ'), ('km', 'NN'), ('table', 'NN'), ('.', '.')]",The system shall show starting total system date time location destination km table
1363,system shall provide user ?all police?button ongoing ride page.,system shall provide user ?all police?button ongoing ride page.,0,Management system,Web & Mobile app,86,86,63,63,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('user', 'JJR'), ('?', '.'), ('all', 'DT'), ('police', 'NN'), ('?', '.'), ('button', 'NN'), ('ongoing', 'VBG'), ('ride', 'JJ'), ('page', 'NN'), ('.', '.')]",The system shall provide ongoing ride system police button page
1364,system shall provide user red ?ancel ride?button ride booking page.,system shall provide user red ?ancel ride?button ride booking page.,0,Management system,Web & Mobile app,90,90,67,67,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('user', 'NN'), ('red', 'JJ'), ('?', '.'), ('ancel', 'VB'), ('ride', 'NN'), ('?', '.'), ('button', 'NN'), ('ride', 'NN'), ('booking', 'VBG'), ('page', 'NN'), ('.', '.')]",The system shall provide ancel booking red system user ride button page
